ICDO3.2	Level	Term
8054/3	Related	Warty-basaloid carcinoma
8060/0	Preferred	Squamous papillomatosis
8060/0	Synonym	Papillomatosis, NOS
8070/0	Preferred	Actinic keratosis
8070/0	Related	Arsenical keratosis
8070/0	Related	PUVA keratosis
8070/2	Preferred	Squamous cell carcinoma in situ, NOS
8070/2	Synonym	Epidermoid carcinoma in situ, NOS
8070/2	Synonym	Intraepidermal carcinoma, NOS
8070/2	Synonym	Intraepithelial squamous cell carcinoma
8070/3	Preferred	Squamous cell carcinoma, NOS
8070/3	Synonym	Squamous cell carcinoma, usual type
8070/3	Synonym	Epidermoid carcinoma, NOS
8070/3	Synonym	Squamous carcinoma
8070/3	Synonym	Squamous cell epithelioma
8070/6	Preferred	Squamous cell carcinoma, metastatic, NOS
8071/2	Preferred	Differentiated intraepithelial neoplasia
8071/2	Related	Differentiated penile intraepithelial neoplasia (PeIN)
8071/2	Related	Differentiated vulvar intraepithelial neoplasia (VIN)
8071/3	Preferred	Squamous cell carcinoma, keratinizing, NOS
8071/3	Synonym	Epidermoid carcinoma, keratinizing
8071/3	Synonym	Squamous cell carcinoma, large cell, keratinizing
8071/3	Related	Keratoacanthoma
8072/0	Preferred	Large cell acanthoma
8072/3	Preferred	Squamous cell carcinoma, large cell, nonkeratinizing, NOS
8072/3	Synonym	Epidermoid carcinoma, large cell, nonkeratinizing
8072/3	Synonym	Squamous cell carcinoma, nonkeratinizing, NOS
8073/3	Preferred	Squamous cell carcinoma, small cell, nonkeratinizing
8073/3	Synonym	Epidermoid carcinoma, small cell, nonkeratinizing
8074/3	Preferred	Squamous cell carcinoma, spindle cell
8074/3	Synonym	Epidermoid carcinoma, spindle cell
8074/3	Synonym	Squamous cell carcinoma, sarcomatoid
8074/3	Related	Pseudovascular squamous cell carcinoma
8075/3	Preferred	Squamous cell carcinoma, adenoid
8075/3	Synonym	Squamous cell carcinoma, acantholytic
8075/3	Synonym	Squamous cell carcinoma, pseudoglandular
8076/2	Preferred	Squamous cell carcinoma in situ with questionable stromal invasion
8076/2	Synonym	Epidermoid carcinoma in situ with questionable stromal invasion
8076/3	Preferred	Squamous cell carcinoma, microinvasive
8077/0	Preferred	Squamous intraepithelial neoplasia, low grade
8077/0	Synonym	Squamous intraepithelial neoplasia, grade I
8077/0	Synonym	Low grade squamous intraepithelial lesion
8077/0	Related	Anal intraepithelial neoplasia, low grade
8077/0	Related	Cervical intraepithelial neoplasia, low grade
8077/0	Related	Esophageal squamous intraepithelial neoplasia (dysplasia), low grade
8077/2	Preferred	Squamous intraepithelial neoplasia, high grade
8077/2	Synonym	Squamous intraepithelial neoplasia, grade II
8077/2	Synonym	Squamous intraepithelial neoplasia, grade III
8077/2	Synonym	Squamous dysplasia, high grade
8077/2	Synonym	High grade squamous intraepithelial lesion
8077/2	Related	Anal intraepithelial neoplasia, grade III
8077/2	Synonym	AIN III
8077/2	Related	Cervical intraepithelial neoplasia, grade III
8077/2	Synonym	CIN III, NOS
8077/2	Synonym	CIN III with severe dysplasia
8077/2	Related	Esophageal squamous intraepithelial neoplasia (dysplasia), high grade
8077/2	Related	Vaginal intraepithelial neoplasia, grade III
8077/2	Synonym	VAIN III
8077/2	Related	Vulvar intraepithelial neoplasia, grade III
8077/2	Synonym	VIN III
8078/3	Preferred	Squamous cell carcinoma with horn formation
8080/2	Preferred	Queyrat erythroplasia
8081/2	Preferred	Bowen disease
8081/2	Synonym	Intraepidermal squamous cell carcinoma, Bowen type
8082/3	Preferred	Lymphoepithelial carcinoma
8082/3	Synonym	Lymphoepithelioma
8082/3	Synonym	Lymphoepithelioma-like carcinoma
8082/3	Related	Schmincke tumor
8083/3	Preferred	Basaloid squamous cell carcinoma
8083/3	Related	Papillary-basaloid carcinoma
8084/0	Preferred	Clear cell acanthoma
8084/3	Preferred	Squamous cell carcinoma, clear cell type
8085/3	Preferred	Squamous cell carcinoma, HPV positive
8086/3	Preferred	Squamous cell carcinoma, HPV negative
809-811	2	Basal cell neoplasms
8090/1	Preferred	Basal cell tumor
8090/3	Preferred	Basal cell carcinoma, NOS (except of prostate M-8147/3)
8090/3	Synonym	Basal cell epithelioma
8090/3	Synonym	Rodent ulcer
8090/3	Related	Pigmented basal cell carcinoma
8090/3	Related	Basal cell carcinoma with adnexal differentiation
8091/3	Preferred	Superficial basal cell carcinoma
8091/3	Synonym	Multifocal superficial basal cell carcinoma
8091/3	Synonym	Multicentric basal cell carcinoma
8092/3	Preferred	Infiltrating basal cell carcinoma, NOS
8092/3	Related	Infiltrating basal cell carcinoma, non-sclerosing
8092/3	Related	Infiltrating basal cell carcinoma, sclerosing
8092/3	Synonym	Basal cell carcinoma, desmoplastic type
8092/3	Synonym	Basal cell carcinoma, morpheic
8092/3	Related	Basal cell carcinoma, sarcomatoid
8093/3	Preferred	Basal cell carcinoma, fibroepithelial
8093/3	Synonym	Fibroepithelioma, NOS
8093/3	Synonym	Fibroepithelioma of Pinkus type
8093/3	Synonym	Fibroepithelial basal cell carcinoma, Pinkus type
8093/3	Synonym	Pinkus tumor
8094/3	Preferred	Basosquamous carcinoma
8094/3	Synonym	Mixed basal-squamous cell carcinoma
8095/3	Preferred	Metatypical carcinoma
8096/0	Preferred	Intraepidermal epithelioma of Jadassohn
8097/3	Preferred	Basal cell carcinoma, nodular
8097/3	Related	Basal cell carcinoma, micronodular
8098/3	Preferred	Adenoid basal carcinoma
8100/0	Preferred	Trichoepithelioma
8100/0	Synonym	Brooke tumor
8100/0	Synonym	Epithelioma adenoides cysticum
8100/0	Related	Trichoblastoma
8100/0	Related	Trichogerminoma
8100/3	Preferred	Trichoblastic carcinoma
8100/3	Related	Trichoblastic carcinosarcoma
8101/0	Preferred	Trichofolliculoma
8102/0	Preferred	Trichilemmoma
8102/3	Preferred	Trichilemmocarcinoma
8102/3	Synonym	Trichilemmal carcinoma
8103/0	Preferred	Pilar tumor
8103/1	Preferred	Proliferating trichilemmal cyst
8103/1	Synonym	Proliferating trichilemmal tumor
8104/0	Preferred	Pilar sheath acanthoma
8104/0	Related	Tumor of follicular infundibulum
8110/0	Preferred	Pilomatricoma, NOS
8110/0	Synonym	Pilomatrixoma, NOS
8110/0	Synonym	Calcifying epithelioma of Malherbe
8110/0	Related	Melanocytic matricoma
8110/3	Preferred	Pilomatrical carcinoma
8110/3	Synonym	Pilomatrix carcinoma
8110/3	Synonym	Matrical carcinoma
8110/3	Synonym	Pilomatricoma, malignant
8110/3	Synonym	Pilomatrixoma, malignant
812-813	2	Transitional cell papillomas and carcinomas
8120/0	Preferred	Urothelial papilloma, NOS
8120/0	Synonym	Transitional cell papilloma, benign
8120/0	Synonym	Transitional papilloma
8120/0	Synonym	Transitional cell papilloma, NOS
8120/0	Synonym	Papilloma of bladder
8120/2	Preferred	Urothelial carcinoma in situ
8120/2	Synonym	Transitional cell carcinoma in situ
8120/3	Preferred	Transitional cell carcinoma, NOS
8120/3	Synonym	Urothelial carcinoma, NOS
8120/3	Related	Transitional carcinoma
8120/3	Related	Squamotransitional carcinoma
8121/0	Preferred	Sinonasal papilloma, exophytic
8121/0	Synonym	Schneiderian papilloma, NOS
8121/0	Synonym	Sinonasal papilloma, NOS
8121/0	Synonym	Sinonasal papilloma, fungiform
8121/0	Related	Urothelial papilloma, inverted
8121/0	Related	Transitional papilloma, inverted, NOS
8121/0	Synonym	Transitional cell papilloma, inverted, NOS
8121/1	Preferred	Sinonasal papilloma, inverted
8121/1	Related	Columnar cell papilloma
8121/1	Related	Cylindrical cell papilloma
8121/1	Related	Schneiderian papilloma, oncocytic
8121/1	Related	Schneiderian papilloma, inverted
8121/1	Related	Sinonasal papilloma, oncocytic
8121/3	Preferred	Schneiderian carcinoma
8121/3	Related	Cylindrical cell carcinoma
8122/3	Preferred	Urothelial carcinoma, sarcomatoid 
8122/3	Synonym	Urothelial carcinoma, spindle cell
8122/3	Synonym	Transitional cell carcinoma, spindle cell
8122/3	Synonym	Transitional cell carcinoma, sarcomatoid
8123/3	Preferred	Basaloid carcinoma
8124/3	Preferred	Cloacogenic carcinoma
8130/1	Preferred	Papillary urothelial neoplasm of low malignant potential
8130/1	Synonym	Papillary transitional cell neoplasm of low malignant potential
8130/2	Preferred	Papillary urothelial carcinoma, non-invasive
8130/2	Synonym	Papillary transitional cell carcinoma, non-invasive
8130/3	Preferred	Papillary urothelial carcinoma
8130/3	Synonym	Papillary transitional cell carcinoma
8131/3	Preferred	Urothelial carcinoma, micropapillary
8131/3	Synonym	Transitional cell carcinoma, micropapillary
814-838	2	Adenomas and adenocarcinomas
8140/0	Preferred	Adenoma, NOS (except of pituitary M-8272/0 or nipple M-8506/0 or rete ovarii M-9110/0)
8140/1	Preferred	Atypical adenoma
8140/1	Synonym	Bronchial adenoma, NOS
8140/2	Preferred	Adenocarcinoma in situ, NOS
8140/3	Preferred	Adenocarcinoma, NOS (except of anal glands/ducts M-8215/3 or rete ovarii M-9110/3)
8140/3	Synonym	Adenocarcinoma, usual type
8140/3	Related	Carcinoma of Skene, Cowper and Littre glands
8140/3	Related	Endolymphatic sac tumor
8140/3	Related	Parathyroid carcinoma
8140/3	Related	Acinar adenocarcinoma of prostate
8140/6	Preferred	Adenocarcinoma, metastatic, NOS
8141/3	Preferred	Scirrhous adenocarcinoma
8141/3	Synonym	Carcinoma with productive fibrosis
8141/3	Synonym	Scirrhous carcinoma
8142/3	Preferred	Linitis plastica
8143/3	Preferred	Superficial spreading adenocarcinoma
8144/0	Preferred	Adenoma, intestinal type
8144/3	Preferred	Adenocarcinoma, intestinal type
8144/3	Synonym	Adenocarcinoma, enteric
8144/3	Synonym	Carcinoma, intestinal type
8144/3	Synonym	Mucinous carcinoma, intestinal type
8145/3	Preferred	Carcinoma, diffuse type
8145/3	Synonym	Adenocarcinoma, diffuse type
8146/0	Preferred	Monomorphic adenoma
8147/0	Preferred	Basal cell adenoma
8147/3	Preferred	Basal cell adenocarcinoma
8147/3	Related	Basal cell carcinoma of prostate
8148/0	Preferred	Glandular intraepithelial neoplasia, low grade
8148/0	Synonym	Glandular intraepithelial neoplasia, grade I
8148/0	Synonym	Glandular intraepithelial neoplasia, grade II
8148/0	Related	Biliary intraepithelial neoplasia, low grade
8148/0	Related	Esophageal glandular dysplasia (intraepithelial neoplasia), low grade
8148/2	Preferred	Glandular intraepithelial neoplasia, high grade
8148/2	Synonym	Glandular intraepithelial neoplasia, grade III
8148/2	Synonym	Flat intraepithelial neoplasia, high grade
8148/2	Related	Biliary intraepithelial neoplasia, high grade
8148/2	Synonym	Biliary intraepithelial neoplasia, grade 3 (BilIN-3)
8148/2	Related	Esophageal glandular dysplasia (intraepithelial neoplasia), high grade
8148/2	Synonym	Esophageal intraepithelial neoplasia, high grade
8148/2	Related	Prostatic intraepithelial neoplasia, grade III
8148/2	Synonym	PIN III
8148/2	Synonym	Prostatic intraepithelial neoplasia, high grade
8149/0	Preferred	Canalicular adenoma
8150/0	Preferred	Pancreatic neuroendocrine microadenoma
8150/0	Synonym	Pancreatic endocrine tumor, benign
8150/0	Synonym	Islet cell tumor, benign
8150/0	Related	Pancreatic microadenoma
8150/3	Preferred	Pancreatic neuroendocrine tumor, nonfunctioning
8150/3	Synonym	Pancreatic endocrine tumor, nonfunctioning
8150/3	Synonym	Pancreatic endocrine tumor, NOS
8150/3	Related	Islet cell adenoma
8150/3	Related	Islet cell adenomatosis
8150/3	Related	Nesidioblastoma
8150/3	Related	Islet cell tumor, NOS
8150/3	Related	Islet cell adenocarcinoma
8150/3	Related	Islet cell carcinoma
8151/3	Preferred	Insulinoma, NOS
8151/3	Synonym	Beta cell adenoma
8151/3	Synonym	Beta cell tumor
8152/3	Preferred	Glucagonoma
8152/3	Synonym	Alpha cell tumor
8152/3	Related	Enteroglucagonoma
8152/3	Related	Glucagon-like peptide-producing tumor
8152/3	Related	L-cell tumor
8152/3	Related	Pancreatic peptide and pancreatic peptide-like peptide within terminal tyrosine amide producing tumor
8152/3	Synonym	PP/PYY producing tumor
8153/3	Preferred	Gastrinoma
8153/3	Synonym	G cell tumor
8153/3	Synonym	Gastrin cell tumor
8154/3	Preferred	Mixed neuroendocrine non-neuroendocrine neoplasm (MiNEN)
8154/3	Related	Mixed pancreatic endocrine and exocrine tumor, malignant
8154/3	Synonym	Mixed islet cell and exocrine adenocarcinoma
8154/3	Related	Mixed acinar-endocrine carcinoma
8154/3	Synonym	Mixed acinar-neuroendocrine carcinoma
8154/3	Related	Mixed acinar-endocrine-ductal carcinoma
8154/3	Related	Mixed ductal-endocrine carcinoma
8154/3	Synonym	Mixed ductal-neuroendocrine carcinoma
8154/3	Related	Mixed endocrine and exocrine adenocarcinoma
8155/3	Preferred	Vipoma
8156/3	Preferred	Somatostatinoma
8156/3	Synonym	Somatostatin cell tumor
8158/3	Preferred	ACTH-producing tumor
8158/3	Related	Endocrine tumor, functioning, NOS
8160/0	Preferred	Bile duct adenoma
8160/0	Synonym	Cholangioma
8160/3	Preferred	Cholangiocarcinoma
8160/3	Synonym	Bile duct adenocarcinoma
8160/3	Synonym	Bile duct carcinoma
8161/0	Preferred	Bile duct cystadenoma
8161/3	Preferred	Bile duct cystadenocarcinoma
8162/3	Preferred	Perihilar cholangiocarcinoma
8162/3	Synonym	Klatskin tumor
8163/0	Preferred	Pancreatobiliary neoplasm, non-invasive
8163/0	Synonym	Non-invasive pancreatobiliary papillary neoplasm with low grade dysplasia
8163/0	Synonym	Non-invasive pancreatobiliary papillary neoplasm with low grade intraepithelial neoplasia
8163/2	Preferred	Papillary neoplasm, pancreatobiliary type, with high grade intraepithelial neoplasia
8163/2	Synonym	Non-invasive pancreatobiliary papillary neoplasm with high grade dysplasia
8163/2	Synonym	Non-invasive pancreatobiliary papillary neoplasm with high grade intraepithelial neoplasia
8163/3	Preferred	Pancreatobiliary type carcinoma
8163/3	Synonym	Adenocarcinoma, pancreatobiliary type
8170/0	Preferred	Liver cell adenoma
8170/0	Synonym	Hepatocellular adenoma
8170/0	Synonym	Hepatoma, benign
8170/3	Preferred	Hepatocellular carcinoma, NOS
8170/3	Synonym	Hepatoma, NOS
8170/3	Synonym	Hepatocarcinoma
8170/3	Synonym	Hepatoma, malignant
8170/3	Synonym	Liver cell carcinoma
8171/3	Preferred	Hepatocellular carcinoma, fibrolamellar
8172/3	Preferred	Hepatocellular carcinoma, scirrhous
8172/3	Synonym	Sclerosing hepatic carcinoma
8173/3	Preferred	Hepatocellular carcinoma, spindle cell variant
8173/3	Synonym	Hepatocellular carcinoma, sarcomatoid
8174/3	Preferred	Hepatocellular carcinoma, clear cell type
8175/3	Preferred	Hepatocellular carcinoma, pleomorphic type
8180/3	Preferred	Combined hepatocellular carcinoma and cholangiocarcinoma
8180/3	Synonym	Hepatocholangiocarcinoma
8180/3	Synonym	Mixed hepatocellular and bile duct carcinoma
8190/0	Preferred	Trabecular adenoma
8190/3	Preferred	Trabecular adenocarcinoma
8190/3	Synonym	Trabecular carcinoma
8191/0	Preferred	Embryonal adenoma
8200/0	Preferred	Eccrine dermal cylindroma
8200/0	Related	Cylindroma of skin
8200/0	Related	Cylindroma of breast
8200/0	Related	Turban tumor
8200/3	Preferred	Adenoid cystic carcinoma
8200/3	Synonym	Cylindroma, NOS (except of skin or breast M-8200/0)
8200/3	Synonym	Adenocarcinoma, cylindroid
8200/3	Synonym	Adenocystic carcinoma
8200/3	Related	Bronchial adenoma, cylindroid
8200/3	Related	Thymic carcinoma with adenoid cystic carcinoma-like features
8201/2	Preferred	Cribriform carcinoma in situ
8201/2	Synonym	Ductal carcinoma in situ, cribriform type
8201/3	Preferred	Cribriform carcinoma, NOS
8201/3	Synonym	Ductal carcinoma, cribriform type
8201/3	Related	Cribriform comedo type carcinoma
8201/3	Synonym	Adenocarcinoma, cribriform comedo type
8202/0	Preferred	Microcystic adenoma
8204/0	Preferred	Lactating adenoma
8210/0	Preferred	Adenomatous polyp, NOS
8210/0	Synonym	Polypoid adenoma
8210/2	Preferred	Adenocarcinoma in situ in adenomatous polyp
8210/2	Synonym	Adenocarcinoma in situ in polyp, NOS
8210/2	Synonym	Carcinoma in situ in polyp, NOS
8210/2	Synonym	Adenocarcinoma in situ in polypoid adenoma
8210/2	Synonym	Adenocarcinoma in situ in tubular adenoma
8210/2	Synonym	Carcinoma in situ in adenomatous polyp
8210/3	Preferred	Adenocarcinoma in adenomatous polyp
8210/3	Synonym	Adenocarcinoma in polyp, NOS
8210/3	Synonym	Carcinoma in polyp, NOS
8210/3	Synonym	Adenocarcinoma in polypoid adenoma
8210/3	Synonym	Adenocarcinoma in tubular adenoma
8210/3	Synonym	Carcinoma in adenomatous polyp
8211/0	Preferred	Tubular adenoma, NOS
8211/3	Preferred	Tubular adenocarcinoma
8211/3	Synonym	Tubular carcinoma
8212/0	Preferred	Flat adenoma
8213/0	Preferred	Serrated adenoma, NOS
8213/0	Synonym	Traditional serrated adenoma
8213/0	Related	Mixed adenomatous and hyperplastic polyp
8213/0	Related	Sessile serrated adenoma, NOS
8213/0	Related	Sessile serrated polyp
8213/0	Related	Traditional sessile serrated adenoma
8213/3	Preferred	Serrated adenocarcinoma
8214/3	Preferred	Parietal cell carcinoma
8214/3	Synonym	Parietal cell adenocarcinoma
8215/3	Preferred	Adenocarcinoma of anal glands
8215/3	Synonym	Adenocarcinoma of anal ducts
8220/0	Preferred	Adenomatous polyposis coli
8220/0	Synonym	Adenomatosis, NOS
8220/0	Synonym	Familial polyposis coli
8220/3	Preferred	Adenocarcinoma in adenomatous polyposis coli
8221/0	Preferred	Multiple adenomatous polyps
8221/3	Preferred	Adenocarcinoma in multiple adenomatous polyps
8230/2	Preferred	Ductal carcinoma in situ, solid type
8230/2	Synonym	Intraductal carcinoma, solid type
8230/3	Preferred	Solid carcinoma, NOS
8230/3	Synonym	Solid adenocarcinoma, NOS
8230/3	Related	Solid carcinoma with mucin formation
8230/3	Synonym	Solid adenocarcinoma with mucin formation
8231/3	Preferred	Carcinoma simplex
8240/3	Preferred	Neuroendocrine tumor, NOS
8240/3	Synonym	Carcinoid tumor, NOS
8240/3	Synonym	Carcinoid, NOS
8240/3	Related	Bronchial adenoma, carcinoid
8240/3	Synonym	Neuroendocrine carcinoma, low grade
8240/3	Synonym	Neuroendocrine carcinoma, well differentiated
8240/3	Related	Neuroendocrine tumor, grade 1
8240/3	Synonym	Typical carcinoid
8241/3	Preferred	Enterochromaffin cell carcinoid
8241/3	Synonym	Argentaffinoma
8241/3	Synonym	Carcinoid tumor, argentaffin
8241/3	Synonym	EC cell carcinoid
8241/3	Synonym	Serotonin producing carcinoid
8241/3	Synonym	Serotonin producing tumor
8242/3	Preferred	Enterochromaffin-like cell tumor
8242/3	Synonym	ECL cell carcinoid
8243/3	Preferred	Goblet cell carcinoid
8243/3	Synonym	Mucinous carcinoid
8243/3	Synonym	Mucocarcinoid tumor
8244/3	Preferred	Mixed adenoneuroendocrine carcinoma
8244/3	Synonym	Combined carcinoid and adenocarcinoma
8244/3	Synonym	Mixed carcinoid and adenocarcinoma
8244/3	Synonym	Composite carcinoid
8244/3	Synonym	MANEC
8244/3	Synonym	Mixed carcinoid-adenocarcinoma
8245/1	Preferred	Tubular carcinoid
8245/3	Preferred	Adenocarcinoid tumor
8246/3	Preferred	Neuroendocrine carcinoma, NOS
8246/3	Synonym	Poorly differentiated neuroendocrine neoplasm
8247/3	Preferred	Merkel cell carcinoma
8247/3	Synonym	Merkel cell tumor
8247/3	Synonym	Primary cutaneous neuroendocrine carcinoma
8248/1	Preferred	Apudoma
8249/3	Preferred	Neuroendocrine tumor, grade 2
8249/3	Synonym	Atypical carcinoid tumor
8249/3	Related	Neuroendocrine carcinoma, moderately differentiated
8249/3	Related	Neuroendocrine tumor, grade 3
8250/0	Preferred	Atypical adenomatous hyperplasia
8250/1	Preferred	Pulmonary adenomatosis
8250/2	Preferred	Adenocarcinoma in situ of lung, non-mucinous
8250/3	Preferred	Lepidic adenocarcinoma
8250/3	Synonym	Bronchiolo-alveolar adenocarcinoma, NOS
8250/3	Synonym	Bronchiolo-alveolar carcinoma, NOS
8250/3	Synonym	Alveolar cell carcinoma
8250/3	Synonym	Bronchiolar adenocarcinoma
8250/3	Synonym	Bronchiolar carcinoma
8251/0	Preferred	Alveolar adenoma
8251/3	Preferred	Alveolar adenocarcinoma
8251/3	Synonym	Alveolar carcinoma
8252/3	Preferred	Bronchiolo-alveolar carcinoma, non-mucinous
8252/3	Synonym	Bronchiolo-alveolar carcinoma, Clara cell
8252/3	Synonym	Bronchiolo-alveolar carcinoma, type II pneumocyte
8253/2	Preferred	Adenocarcinoma in situ of lung, mucinous
8253/3	Preferred	Adenocarcinoma of lung, mucinous
8253/3	Synonym	Bronchiolo-alveolar carcinoma, mucinous
8253/3	Synonym	Bronchiolo-alveolar carcinoma, goblet cell type
8254/3	Preferred	Adenocarcinoma of lung, mixed mucinous and non-mucinous
8254/3	Synonym	Bronchiolo-alveolar carcinoma, mixed mucinous and non-mucinous
8254/3	Synonym	Bronchiolo-alveolar carcinoma, Clara cell and goblet cell type
8254/3	Synonym	Bronchiolo-alveolar carcinoma, indeterminate type
8254/3	Synonym	Bronchiolo-alveolar carcinoma, type II pneumocyte and goblet cell type
8255/3	Preferred	Adenocarcinoma with mixed subtypes
8255/3	Synonym	Adenocarcinoma combined with other types of carcinoma
8256/3	Preferred	Minimally invasive adenocarcinoma, non-mucinous
8257/3	Preferred	Minimally invasive adenocarcinoma, mucinous
8260/0	Preferred	Papillary adenoma, NOS
8260/0	Related	Glandular papilloma
8260/1	Preferred	Aggressive papillary tumor
8260/3	Preferred	Papillary adenocarcinoma, NOS
8260/3	Related	Papillary carcinoma of thyroid
8260/3	Related	Papillary renal cell carcinoma
8261/0	Preferred	Villous adenoma, NOS
8261/0	Related	Villous papilloma
8261/2	Preferred	Adenocarcinoma in situ in villous adenoma
8261/3	Preferred	Adenocarcinoma in villous adenoma
8262/3	Preferred	Villous adenocarcinoma
8263/0	Preferred	Tubulovillous adenoma, NOS
8263/0	Synonym	Villoglandular adenoma
8263/0	Related	Papillotubular adenoma
8263/0	Synonym	Tubulo-papillary adenoma
8263/2	Preferred	Adenocarcinoma in situ in tubulovillous adenoma
8263/3	Preferred	Adenocarcinoma in tubulovillous adenoma
8263/3	Related	Villoglandular carcinoma
8263/3	Related	Villoglandular variant of endometrioid adenocarcinoma
8263/3	Related	Papillotubular adenocarcinoma
8263/3	Synonym	Tubulopapillary adenocarcinoma
8264/0	Preferred	Papillomatosis, glandular
8264/0	Related	Biliary papillomatosis
